Datetime,T_Outdoor(C),H_Outdoor(g/m3),CO2_Outdoor(g/m3),Radiation_Outdoor(w/m2)
2024-02-01T00:00:00,3.5,4.61,0.8,0
2024-02-01T00:05:00,3.5,4.61,0.81,0
2024-02-01T00:10:00,3.5,4.61,0.8,0
2024-02-01T00:15:00,3.5,4.61,0.79,0
2024-02-01T00:20:00,3.5,4.61,0.81,0
2024-02-01T00:25:00,3.5,4.61,0.8,0
2024-02-01T00:30:00,3.4,4.58,0.79,0
2024-02-01T00:35:00,3.4,4.58,0.81,0
2024-02-01T00:40:00,3.4,4.58,0.8,0
2024-02-01T00:45:00,3.4,4.58,0.8,0
2024-02-01T00:50:00,3.4,4.58,0.8,0
2024-02-01T00:55:00,3.5,4.61,0.81,0
2024-02-01T01:00:00,3.4,4.58,0.79,0
2024-02-01T01:05:00,3.5,4.61,0.8,0
2024-02-01T01:10:00,3.5,4.61,0.8,0
2024-02-01T01:15:00,3.4,4.58,0.81,0
2024-02-01T01:20:00,3.4,4.58,0.8,0
2024-02-01T01:25:00,3.4,4.58,0.8,0
2024-02-01T01:30:00,3.5,4.61,0.79,0
2024-02-01T01:35:00,3.4,4.58,0.8,0
2024-02-01T01:40:00,3.5,4.61,0.8,0
2024-02-01T01:45:00,3.5,4.61,0.8,0
2024-02-01T01:50:00,3.5,4.61,0.81,0
2024-02-01T01:55:00,3.5,4.61,0.81,0
2024-02-01T02:00:00,3.5,4.61,0.77,0
2024-02-01T02:05:00,3.5,4.61,0.78,0
2024-02-01T02:10:00,3.4,4.58,0.8,0
2024-02-01T02:15:00,3.4,4.58,0.8,0
2024-02-01T02:20:00,3.3,4.55,0.8,0
2024-02-01T02:25:00,3.4,4.58,0.8,0
2024-02-01T02:30:00,3.4,4.58,0.82,0
2024-02-01T02:35:00,3.4,4.58,0.79,0
2024-02-01T02:40:00,3.3,4.55,0.8,0
2024-02-01T02:45:00,3.3,4.55,0.82,0
2024-02-01T02:50:00,3.3,4.55,0.81,0
2024-02-01T02:55:00,3.3,4.55,0.81,0
2024-02-01T03:00:00,3.3,4.55,0.79,0
2024-02-01T03:05:00,3.2,4.52,0.78,0
2024-02-01T03:10:00,3.2,4.52,0.8,0
2024-02-01T03:15:00,3.2,4.52,0.8,0
2024-02-01T03:20:00,3.1,4.49,0.79,0
2024-02-01T03:25:00,3.1,4.49,0.79,0
2024-02-01T03:30:00,3,4.46,0.8,0
2024-02-01T03:35:00,3,4.46,0.79,0
2024-02-01T03:40:00,2.9,4.43,0.8,0
2024-02-01T03:45:00,2.9,4.43,0.8,0
2024-02-01T03:50:00,2.8,4.4,0.8,0
2024-02-01T03:55:00,2.8,4.4,0.79,0
2024-02-01T04:00:00,2.7,4.37,0.81,0
2024-02-01T04:05:00,2.6,4.34,0.81,0
2024-02-01T04:10:00,2.6,4.34,0.8,0
2024-02-01T04:15:00,2.5,4.31,0.79,0
2024-02-01T04:20:00,2.5,4.31,0.81,0
2024-02-01T04:25:00,2.4,4.28,0.79,0
2024-02-01T04:30:00,2.4,4.28,0.81,0
2024-02-01T04:35:00,2.3,4.26,0.79,0
2024-02-01T04:40:00,2.3,4.26,0.81,0
2024-02-01T04:45:00,2.2,4.23,0.8,0
2024-02-01T04:50:00,2.3,4.26,0.79,0
2024-02-01T04:55:00,2.2,4.23,0.8,0
2024-02-01T05:00:00,2.2,4.23,0.8,0
2024-02-01T05:05:00,2.1,4.2,0.8,0
2024-02-01T05:10:00,2.1,4.2,0.79,0
2024-02-01T05:15:00,2.1,4.2,0.79,0
2024-02-01T05:20:00,2,4.17,0.8,0
2024-02-01T05:25:00,2,4.17,0.8,0
2024-02-01T05:30:00,1.9,4.14,0.8,0
2024-02-01T05:35:00,1.8,4.11,0.81,0
2024-02-01T05:40:00,1.8,4.11,0.78,0
2024-02-01T05:45:00,1.8,4.11,0.8,0
2024-02-01T05:50:00,1.8,4.11,0.81,0
2024-02-01T05:55:00,1.7,4.09,0.8,0
2024-02-01T06:00:00,1.6,4.06,0.79,0
2024-02-01T06:05:00,1.6,4.06,0.81,0
2024-02-01T06:10:00,1.7,4.09,0.8,0
2024-02-01T06:15:00,1.6,4.06,0.81,0
2024-02-01T06:20:00,1.5,4.03,0.8,0
2024-02-01T06:25:00,1.6,4.06,0.79,0
2024-02-01T06:30:00,1.5,4.03,0.8,0
2024-02-01T06:35:00,1.5,4.03,0.8,0
2024-02-01T06:40:00,1.4,4,0.81,0
2024-02-01T06:45:00,1.4,4,0.8,0
2024-02-01T06:50:00,1.4,4,0.78,0
2024-02-01T06:55:00,1.3,3.98,0.79,0
2024-02-01T07:00:00,1.3,3.98,0.81,0
2024-02-01T07:05:00,1.3,3.98,0.81,0
2024-02-01T07:10:00,1.3,3.98,0.79,0
2024-02-01T07:15:00,1.2,3.95,0.8,0
2024-02-01T07:20:00,1.2,3.95,0.8,0
2024-02-01T07:25:00,1.2,3.95,0.8,0
2024-02-01T07:30:00,1.2,3.95,0.81,1
2024-02-01T07:35:00,1.1,3.92,0.8,2
2024-02-01T07:40:00,1.1,3.92,0.8,4
2024-02-01T07:45:00,1.1,3.92,0.8,6
2024-02-01T07:50:00,1.1,3.92,0.81,12
2024-02-01T07:55:00,1.1,3.92,0.78,19
2024-02-01T08:00:00,1.2,3.95,0.8,26
2024-02-01T08:05:00,1.2,3.95,0.8,34
2024-02-01T08:10:00,1.4,4,0.79,44
2024-02-01T08:15:00,1.4,4,0.8,55
2024-02-01T08:20:00,1.5,4.03,0.79,65
2024-02-01T08:25:00,1.6,4.06,0.81,76
2024-02-01T08:30:00,1.5,4.03,0.8,91
2024-02-01T08:35:00,1.6,4.06,0.81,97
2024-02-01T08:40:00,1.8,4.11,0.81,117
2024-02-01T08:45:00,1.8,4.11,0.8,128
2024-02-01T08:50:00,2,4.17,0.79,139
2024-02-01T08:55:00,2,4.17,0.78,168
2024-02-01T09:00:00,2.2,4.23,0.82,184
2024-02-01T09:05:00,2.4,4.28,0.8,200
2024-02-01T09:10:00,2.2,4.23,0.79,137
2024-02-01T09:15:00,2.5,4.31,0.8,216
2024-02-01T09:20:00,2.8,4.4,0.8,235
2024-02-01T09:25:00,2.7,4.37,0.81,208
2024-02-01T09:30:00,2.9,4.43,0.8,256
2024-02-01T09:35:00,3.1,4.49,0.8,201
2024-02-01T09:40:00,3.3,4.55,0.79,286
2024-02-01T09:45:00,3.4,4.58,0.8,294
2024-02-01T09:50:00,3.7,4.68,0.79,306
2024-02-01T09:55:00,4.1,4.8,0.81,317
2024-02-01T10:00:00,4.2,4.83,0.82,304
2024-02-01T10:05:00,4.6,4.96,0.78,344
2024-02-01T10:10:00,4.9,5.06,0.78,352
2024-02-01T10:15:00,4.6,4.96,0.81,363
2024-02-01T10:20:00,5,5.1,0.83,367
2024-02-01T10:25:00,4.7,5,0.79,392
2024-02-01T10:30:00,5.1,5.13,0.79,401
2024-02-01T10:35:00,5.6,5.3,0.81,413
2024-02-01T10:40:00,5.8,5.37,0.79,425
2024-02-01T10:45:00,5.9,5.41,0.79,432
2024-02-01T10:50:00,5.6,5.3,0.8,433
2024-02-01T10:55:00,5.7,5.34,0.81,451
2024-02-01T11:00:00,5.9,5.41,0.8,450
2024-02-01T11:05:00,5.9,5.41,0.8,413
2024-02-01T11:10:00,5.9,5.41,0.8,489
2024-02-01T11:15:00,6.5,5.62,0.79,352
2024-02-01T11:20:00,6.7,5.7,0.8,489
2024-02-01T11:25:00,6.8,5.74,0.79,504
2024-02-01T11:30:00,6.9,5.77,0.8,542
2024-02-01T11:35:00,6.9,5.77,0.79,458
2024-02-01T11:40:00,7.1,5.85,0.79,476
2024-02-01T11:45:00,7.1,5.85,0.81,422
2024-02-01T11:50:00,7.1,5.85,0.8,478
2024-02-01T11:55:00,7.2,5.89,0.8,459
2024-02-01T12:00:00,7.1,5.85,0.81,501
2024-02-01T12:05:00,7.2,5.89,0.8,549
2024-02-01T12:10:00,8.2,6.28,0.8,519
2024-02-01T12:15:00,8.1,6.24,0.8,519
2024-02-01T12:20:00,7.7,6.08,0.8,462
2024-02-01T12:25:00,7.4,5.96,0.79,431
2024-02-01T12:30:00,7.8,6.12,0.81,424
2024-02-01T12:35:00,8,6.2,0.79,484
2024-02-01T12:40:00,8.3,6.32,0.79,510
2024-02-01T12:45:00,8.5,6.4,0.79,534
2024-02-01T12:50:00,8.3,6.32,0.8,446
2024-02-01T12:55:00,8.4,6.36,0.82,476
2024-02-01T13:00:00,9,6.61,0.79,528
2024-02-01T13:05:00,8.9,6.57,0.8,481
2024-02-01T13:10:00,8.9,6.57,0.78,477
2024-02-01T13:15:00,9.2,6.7,0.8,515
2024-02-01T13:20:00,9.4,6.78,0.81,508
2024-02-01T13:25:00,9.5,6.82,0.8,465
2024-02-01T13:30:00,9.2,6.7,0.79,409
2024-02-01T13:35:00,9.2,6.7,0.8,389
2024-02-01T13:40:00,9.5,6.82,0.81,405
2024-02-01T13:45:00,9.7,6.91,0.81,399
2024-02-01T13:50:00,9.7,6.91,0.82,437
2024-02-01T13:55:00,9.6,6.87,0.8,432
2024-02-01T14:00:00,10,7.05,0.79,451
2024-02-01T14:05:00,9.7,6.91,0.8,386
2024-02-01T14:10:00,10.4,7.23,0.8,410
2024-02-01T14:15:00,10.2,7.13,0.8,343
2024-02-01T14:20:00,10.5,7.27,0.8,397
2024-02-01T14:25:00,10.2,7.13,0.8,378
2024-02-01T14:30:00,10.5,7.27,0.78,368
2024-02-01T14:35:00,10.3,7.18,0.81,377
2024-02-01T14:40:00,10.2,7.13,0.79,361
2024-02-01T14:45:00,10.4,7.23,0.79,326
2024-02-01T14:50:00,10.1,7.09,0.81,306
2024-02-01T14:55:00,10.4,7.23,0.81,285
2024-02-01T15:00:00,10.2,7.13,0.8,226
2024-02-01T15:05:00,9.9,7,0.8,240
2024-02-01T15:10:00,10.1,7.09,0.79,249
2024-02-01T15:15:00,10.1,7.09,0.83,298
2024-02-01T15:20:00,10.1,7.09,0.81,258
2024-02-01T15:25:00,10.2,7.13,0.79,327
2024-02-01T15:30:00,10.5,7.27,0.79,249
2024-02-01T15:35:00,10.5,7.27,0.8,281
2024-02-01T15:40:00,10.4,7.23,0.78,202
2024-02-01T15:45:00,10.5,7.27,0.8,182
